focus,A,actual_dist,score,Pred_dist
450,1.8,250,511879910,250.0150449
450,1.8,350,385329868,350.0078543
450,1.8,450,1192306504,450.0057096
450,1.8,550,215021250,550.0022041
450,1.8,650,147477734,649.9997674
450,1.8,750,142457012,749.9974948
450,2,250,474800832,250.0150449
450,2,350,501622478,350.0078543
450,2,450,1061965170,450.0057096
450,2,550,196901508,550.0022041
450,2,650,159136394,649.9997674
450,2,750,157063352,749.9974948
450,2.2,250,426494560,250.0150449
450,2.2,350,370398782,350.0078543
450,2.2,450,1021859424,450.0057096
450,2.2,550,229501608,550.0022041
450,2.2,650,127904670,649.9997674
450,2.2,750,126747484,749.9974948
450,2.5,250,441543252,250.0150449
450,2.5,350,400322884,350.0078543
450,2.5,450,1013150174,450.0057096
450,2.5,550,252349620,550.0022041
450,2.5,650,125403960,649.9997674
450,2.5,750,129745920,749.9974948
450,2.8,250,419952144,250.0150449
450,2.8,350,368701470,350.0078543
450,2.8,450,1028554616,450.0057096
450,2.8,550,282016910,550.0022041
450,2.8,650,149438768,649.9997674
450,2.8,750,123322006,749.9974948
450,3.2,250,407817352,250.0150449
450,3.2,350,409034514,350.0078543
450,3.2,450,811634632,450.0057096
450,3.2,550,267286404,550.0022041
450,3.2,650,141773176,649.9997674
450,3.2,750,135614674,749.9974948
450,3.5,250,418711362,250.0150449
450,3.5,350,406875882,350.0078543
450,3.5,450,1309140750,450.0057096
450,3.5,550,291058134,550.0022041
450,3.5,650,144296306,649.9997674
450,3.5,750,86641914,749.9974948
450,4,250,483009440,250.0150449
450,4,350,454034270,350.0078543
450,4,450,1352554324,450.0057096
450,4,550,343213566,550.0022041
450,4,650,179013746,649.9997674
450,4,750,104921302,749.9974948
450,4.5,250,466297396,250.0150449
450,4.5,350,599370670,350.0078543
450,4.5,450,1443131320,450.0057096
450,4.5,550,523257236,550.0022041
450,4.5,650,341184826,649.9997674
450,4.5,750,209649870,749.9974948
450,5,250,527538330,250.0150449
450,5,350,737852304,350.0078543
450,5,450,1413702400,450.0057096
450,5,550,533843956,550.0022041
450,5,650,353774432,649.9997674
450,5,750,196999682,749.9974948
450,5.6,250,621530218,250.0150449
450,5.6,350,843671610,350.0078543
450,5.6,450,1391345380,450.0057096
